name,dob,phone,email,class,section
qqqq,27/07/2004,980980955,qq@gmail.com,6,B
bbb,23/07/2004,7898789898,geetha1@gmail.com,7,A
rr,24/08/2023,6757867878,rr@gmail.com,6,A
ss,21/06/2024,9999999999,ss@gmail.com,8,B
ww,21/08/2023,7890678990,ww@gmail.com,4,C
aa,04/12/2024,7890678900,aaaaa@gmail.com,6,B
ggg,04/12/2024,6758765890,ggg@gmail.com,7,C
xx,09/08/2024,6543217890,hth@gmail.com,7,A
ajithw,08/09/2024,9090090906,ajitwh@gmail.com,6,A
karthick,19/10/2024,9567895678,karthick@gmail.com,6,A
oviya,12/07/2023,7890989098,oviya@gmail.com,5,A
harish,21-06-2024,7656787650,harish@gmail.com,2,C
jaya,12/02/2024,7890098769,jaya@gmail.com,LKG,B
vishal,13/12/2023,6786546786,vishal@gmail.com,UKG,A
uuu,12/08/2024,6666666666,THENZ@gmail.com,3,C
eee,12/09/2024,8888776699,YY@gmail.com,4,C
eeeee,32/13/2025,7788887788,TT@gmail.com,5,C
